#,Artiste,Titre,fileDate,freq,True_Target
49,SAINt JHN ,Roses (Imanbek Remix),20-12-12,1,False
23,Lil Nas X ,Holiday,20-12-19,11,True
33,Indochine feat. Christine And The Queens ,3Sex,20-12-19,12,True
38,Jul & Sch ,Mother Fuck,20-12-19,5,True
48,Meduza feat. Dermot Kennedy ,Paradise,20-12-19,12,True
49,Louane ,Désolée,20-12-19,5,True
38,Suarez feat. Maria Del Rio ,Feliz Navidad,20-12-26,2,False
42,Shawn Mendes / Justin Bieber ,Monster,20-12-26,7,True
48,Laura Tesoro & Loïc Nottet feat. Alex Germys ,Strangers,20-12-26,11,True
30,Ed Sheeran ,Afterglow,21-01-02,9,True
43,Calogero ,Celui d'en bas,21-01-02,9,True
50,Miley Cyrus feat. Dua Lipa ,Prisoner,21-01-02,6,True
44,Robin Schulz feat. Kiddo ,All We Got,21-01-09,9,True
50,Bad Bunny x Jhay Cortez ,Dákiti,21-01-09,8,True
37,Black Eyed Peas x Shakira ,Girl Like Me,21-01-16,8,True
45,Tones And I ,Fly Away,21-01-16,4,True
13,Olivia Rodrigo ,Drivers License,21-01-23,7,True
33,Grand Corps Malade ,Pas essentiel,21-01-23,5,True
37,Vitaa & Slimane ,De l'or,21-01-23,7,True
38,Ava Max ,My Head & My Heart,21-01-23,7,True
39,Amel Bent & Hatik ,"1,2,3",21-01-23,6,True
49,Suarez ,Céleste,21-01-23,6,True
33,Jason Derulo x Nuka ,Love Not War (The Tampa Beat),21-01-30,6,True
45,The Kid Laroi ,Without You,21-01-30,6,True
49,The Weeknd ,Save Your Tears,21-01-30,6,True
50,Julie Zenatti ,Paisiblement fou,21-01-30,5,True
27,Booba ,Ratpi World,21-02-06,2,False
38,Sia ,Courage To Change,21-02-06,5,True
41,Les Enfoirés ,Maintenant,21-02-06,5,True
25,Hamza feat. Zed ,Réel,21-02-13,1,False
30,Sch ,Marché noir,21-02-13,2,False
49,Riton x Nightcrawlers feat. Mufasa & Hypeman ,Friday (Dopamine Re-Edit),21-02-13,4,True
50,Ykons ,Sequoia Trees,21-02-13,4,True
45,Kendji Girac ,Évidemment,21-02-20,3,True
46,Justin Bieber ,Anyone,21-02-20,2,False
47,Delta [BE] ,Nirvana,21-02-20,3,True
48,atb x Topic x A7S ,Your Love (9PM),21-02-20,3,True
33,JC Stewart ,Break My Heart,21-02-27,3,True
40,Ashnikko feat. Kelis ,Deal With It,21-02-27,2,False
45,Shane Codd ,Get Out My Head,21-02-27,2,False
47,CJ ,Whoopty,21-02-27,2,False
48,Kid Noize feat. Gio Kemper ,Monster Next Door,21-02-27,2,False
7,Tayc ,Le temps,21-03-06,1,False
41,Ofenbach feat. Lagique ,Wasted Love,21-03-06,1,False
50,Antoine Delie ,Dis-moi,21-03-06,1,False
