#,-1,S,Artiste,Titre,Label,Distributeur,MP,fileDate
28,28,8,Vitaa & Slimane,Ça ira,DEF JAM,UNIVERSAL,20,05_12_2020
29,34,8,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,26,05_12_2020
30,29,8,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,CAROLINE,UNIVERSAL,29,05_12_2020
31,22,11,Naza feat. Niska,Joli bébé,CAPIROLESQUE,CAPIROLESQUE,17,05_12_2020
32,33,3,Mika & Soprano,Le cœur Holiday,REPUBLIC,UNIVERSAL,32,05_12_2020
33,30,5,Dadju,Amour toxic,POLYDOR,UNIVERSAL,30,05_12_2020
34,31,4,Alliel,Ce qui nous rend fous,PARLOPHONE,WARNER,31,05_12_2020
35,43,4,Black Eyed Peas x Nicky Jam x Tyga,Vida loca,EPIC,SONY,35,05_12_2020
36,42,2,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',WARNER,36,05_12_2020
37,26,3,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,26,05_12_2020
38,NEW,1,Twocolors,Lovefool,VIRGIN,UNIVERSAL,38,05_12_2020
39,39,5,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,37,05_12_2020
40,38,6,Koba LaD feat. Maes & Zed,Coffre plein,CAPITOL,UNIVERSAL,7,05_12_2020
41,36,2,Aya Nakamura feat. Stormzy,Plus jamais,REC. 118,WARNER,36,05_12_2020
42,47,2,Maluma & The Weeknd,Hawái (Remix),SONY LATIN,SONY,42,05_12_2020
43,NEW,1,Vald,Gotaga,ECHELON,SONY,43,05_12_2020
44,41,24,Grand Corps Malade & Camille Lellouche,Mais je t'aime,CAROLINE,UNIVERSAL,12,05_12_2020
45,49,2,Dadju feat. Tiakola,Dieu merci,POLYDOR,UNIVERSAL,45,05_12_2020
46,48,3,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &Toes,SPINNIN',WARNER,46,05_12_2020
47,NEW,1,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,47,05_12_2020
48,NEW,1,HVME,Goosebumps,B1,SONY,48,05_12_2020
49,23,2,Zola feat. Sch,9 1 1 3,AWA,SONY,23,05_12_2020
50,44,5,Lucenzo,No me ama,PLAY TWO,WARNER,37,05_12_2020
1,1,14,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,06_02_2021
2,3,20,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,2,06_02_2021
3,5,13,Tiësto,The Business,ATLANTIC,WARNER,3,06_02_2021
4,4,16,Tate McRae,You Broke Me First,RCA,SONY,4,06_02_2021
5,7,19,BTS,Dynamite,BIGHIT,SONY,3,06_02_2021
6,6,15,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,6,06_02_2021
7,2,19,Vianney,Beau-papa,TOT OU TARD,PIAS,2,06_02_2021
8,8,13,Julien Doré,Nous,COLUMBIA,SONY,7,06_02_2021
9,17,4,Black Eyed Peas x Shakira,Girl Like Me,EPIC,SONY,9,06_02_2021
10,10,9,Kygo x Donna Summer,Hot Stuff,RCA,SONY,10,06_02_2021
11,13,3,Olivia Rodrigo,Drivers License,GEFFEN,UNIVERSAL,11,06_02_2021
12,14,10,Maître Gims,Jusqu'ici tout va bien,PLAY TWO,SONY,12,06_02_2021
13,15,22,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,06_02_2021
14,9,8,Indochine feat. Christine And The Queens,3Sex,RCA,SONY,8,06_02_2021
15,12,7,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,12,06_02_2021
16,16,8,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,16,06_02_2021
17,11,19,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,6,06_02_2021
18,19,10,HVME,Goosebumps,B1,SONY,18,06_02_2021
19,21,5,Robin Schulz feat. Kiddo,All We Got,WARNER,WARNER,19,06_02_2021
20,20,16,Banners,Someone To You,ISLAND,UNIVERSAL,11,06_02_2021
21,26,11,Henri PFR x Famba feat. Chiara Castelli,No One Knows,SPINNIN',SPINNIN',21,06_02_2021
