#,VW,W,Artiest,Titel,Label,Distributeur,HP,fileDate
17,27,6,atb x Topic x A7S,Your Love (9PM),RIDE,RIDE,17,06_03_2021
18,24,8,Shane Codd,Get Out My Head,POLYDOR,UNIVERSAL,16,06_03_2021
19,26,7,Purple Disco Machine & Sophie And The Giants,Hypnotized,COLUMBIA,SONY,19,06_03_2021
20,14,7,HVME,Goosebumps,B1,SONY,14,06_03_2021
21,30,7,Sheppard,Learning To Fly,DECCA,UNIVERSAL,21,06_03_2021
22,50,2,Cleymans & Van Geel,En route,DPG/INMEDIATE INT,CNR,22,06_03_2021
23,19,21,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,8,06_03_2021
24,16,16,Regi & Camille,Vechter,DPG/INMEDIATE INT,CNR,7,06_03_2021
25,20,16,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,12,06_03_2021
26,21,26,Tate McRae,You Broke Me First,RCA,SONY,4,06_03_2021
27,28,28,BTS,Dynamite,BIGHIT,SONY,5,06_03_2021
28,22,27,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,06_03_2021
29,29,65,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,06_03_2021
30,23,17,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,13,06_03_2021
31,32,25,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,06_03_2021
32,45,5,Maude [BE],Dance You Off,MOSTIKO,CNR,31,06_03_2021
33,25,18,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,8,06_03_2021
34,34,35,Banners,Someone To You,ISLAND,UNIVERSAL,8,06_03_2021
35,40,2,Tom Grennan,Little Bit Of Love,INSANITY,SONY,35,06_03_2021
36,47,4,Sara Kays,Remember That Night?,ATLANTIC,WARNER,36,06_03_2021
37,31,22,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,06_03_2021
38,NEW,1,P!nk + Willow Sage Hart,Cover Me In Sunshine,RCA,SONY,38,06_03_2021
39,38,16,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,06_03_2021
40,36,3,Dua Lipa,We're Good,WARNER,WARNER,36,06_03_2021
41,41,3,Zoe Wees,Girls Like Us,CAPITOL,UNIVERSAL,41,06_03_2021
42,44,4,Celeste [UK],Love Is Back,POLYDOR,UNIVERSAL,40,06_03_2021
43,37,3,JC Stewart,Break My Heart,WARNER,WARNER,37,06_03_2021
44,42,5,Stan Van Samang,Snow,LIVEENTERTAINMENT,UNIVERSAL,39,06_03_2021
45,49,2,Lil Tjay feat. 6lack,Calling My Phone,COLUMBIA,SONY,45,06_03_2021
46,33,13,Lil Nas X,Holiday,COLUMBIA,SONY,9,06_03_2021
47,NEW,1,Masked Wolf,Astronaut In The Ocean,ELEKTRA,WARNER,47,06_03_2021
48,46,28,Miley Cyrus,Midnight Sky,RCA,SONY,6,06_03_2021
49,43,19,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,06_03_2021
50,35,15,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,06_03_2021
1,2,10,Dua Lipa feat. Angèle,Fever,WARNER,WARNER,1,09_01_2021
2,4,19,24kGoldn feat. Iann Dior,Mood,COLUMBIA,SONY,2,09_01_2021
3,1,13,Jaap Reesema & Pommelien Thijs,Nu wij niet meer praten,MOSTIKO,CNR,1,09_01_2021
4,3,22,Joel Corry feat. MNEK,Head & Heart,ASYLUM,WARNER,1,09_01_2021
5,10,6,Tiësto,The Business,ATLANTIC,WARNER,5,09_01_2021
6,8,18,Tate McRae,You Broke Me First,RCA,SONY,4,09_01_2021
7,28,2,Ed Sheeran,Afterglow,ATLANTIC,WARNER,7,09_01_2021
8,5,20,BTS,Dynamite,BIGHIT,SONY,5,09_01_2021
9,7,8,Regi & Camille,Vechter,DPG/INMEDIATEINT,CNR,7,09_01_2021
10,19,23,Master KG feat. Burna Boy & NomceboZikode,Jerusalema (Remix),ELEKTRA,WARNER,1,09_01_2021
11,6,57,The Weeknd,Blinding Lights,REPUBLIC,UNIVERSAL,1,09_01_2021
12,18,11,Justin Bieber & Benny Blanco,Lonely,DEFJAM/INTERSCOPE,UNIVERSAL,6,09_01_2021
13,17,8,Ofenbach & Quarterhead feat. Norma JeanMartine,Head Shoulders Knees & Toes,SPINNIN',WARNER,12,09_01_2021
14,21,16,Jason Derulo,Take You Dancing,ATLANTIC,WARNER,8,09_01_2021
15,14,10,Ava Max,Who's Laughing Now?,ATLANTIC,WARNER,14,09_01_2021
16,24,16,David Guetta & Sia,Let's Love,PARLOPHONE,WARNER,15,09_01_2021
17,11,17,Lost Frequencies & Mathieu Koss,Don't Leave Me Now,MOSTIKO,CNR,11,09_01_2021
18,23,9,Laura Tesoro & Loïc Nottet feat. Alex Germys,Strangers,SONY,SONY,14,09_01_2021
19,15,5,Meduza feat. Dermot Kennedy,Paradise,ISLAND,UNIVERSAL,15,09_01_2021
20,12,3,The Kid Laroi,Without You,COLUMBIA,SONY,12,09_01_2021
21,22,8,Billie Eilish,Therefore I Am,INTERSCOPE,UNIVERSAL,10,09_01_2021
22,27,13,Bazart,Denk maar niet aan morgen,DEBONAIR,PIAS,11,09_01_2021
23,29,5,Lil Nas X,Holiday,COLUMBIA,SONY,9,09_01_2021
24,9,16,Rolf Sanchez,Más más más,TOP ACT,UNIVERSAL,8,09_01_2021
25,34,20,Miley Cyrus,Midnight Sky,RCA,SONY,6,09_01_2021
26,20,15,Regi & Camille,Vergeet de tijd,MOSTIKO,CNR,4,09_01_2021
27,35,11,Ariana Grande,Positions,REPUBLIC,UNIVERSAL,14,09_01_2021
28,25,14,Shawn Mendes,Wonder,ISLAND,UNIVERSAL,14,09_01_2021
29,16,27,Banners,Someone To You,ISLAND,UNIVERSAL,8,09_01_2021
30,30,7,Miley Cyrus feat. Dua Lipa,Prisoner,RCA/WARNER,SONY/WARNER,27,09_01_2021
31,33,8,Netsky & Hybrid Minds,Let Me Hold You,541/NEWS,NEWS,27,09_01_2021
32,36,32,Harry Styles,Watermelon Sugar,COLUMBIA,SONY,2,09_01_2021
33,31,14,Sam Smith,Diamonds,CAPITOL,UNIVERSAL,18,09_01_2021
34,40,14,Stan Van Samang,Don't Close Your Eyes,LIVEENTERTAINMENT,UNIVERSAL,28,09_01_2021
35,38,16,Internet Money & Gunna feat. Don Toliver &Nav,Lemonade,CAROLINE,UNIVERSAL,13,09_01_2021
36,NEW,1,Justin Bieber,Anyone,DEF JAM,UNIVERSAL,36,09_01_2021
37,13,26,Zoe Wees,Control,CAROLINE,UNIVERSAL,6,09_01_2021
38,26,66,Tones And I,Dance Monkey,ELEKTRA,WARNER,1,09_01_2021
